,store_location,cinemarks_county,cinemarks_state
49,"1355 W Renaissance Parkway, Rialto, CA 92376",san bernardino county,California
50,"3200 Klose Way, Richmond, CA 94806",contra costa county,California
51,"6692 Lonetree Blvd., Rocklin, CA 95765",placer county,California
52,"1555 Eureka Road, Roseville, CA 95661",placer county,California
53,"1590 Ethan Way, Sacramento, CA 95826",sacramento county,California
54,"1015 4th Street, Sacramento, CA 95814",sacramento county,California
55,"6233 Garfield Ave., Sacramento, CA 95841",sacramento county,California
56,"350 Northridge Mall, Salinas, CA 93906",monterey county,California
57,"1188 El Camino Real, San Bruno, CA 94066",san mateo county,California
58,"845 Market Street, San Francisco, CA 94103",san francisco city and county,California
59,"925 Blossom Hill Rd., San Jose, CA 95123",santa clara county,California
60,"3088 Olsen Drive, San Jose, CA 95128",santa clara county,California
61,"15555 East 14th Street, San Leandro, CA 94578",alameda county,California
62,"320 East 2nd Ave., San Mateo, CA 94401",san mateo county,California
63,"280 Smith Ranch Road, San Rafael, CA 94903",marin county,California
